,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
15,Ladder,20200516T082533.000Z,Tokky,白竹,0,3,Valkyrie,Hog Rider,Executioner,Goblins,Ice Spirit,Tornado,Rocket,The Log,Baby Dragon,Tombstone,Arrows,Miner,Mega Minion,Lava Hound,Flying Machine,Barbarians
16,Ladder,20200516T082216.000Z,Tokky,Volkan14,0,1,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Knight,Bomb Tower,Skeletons,Giant Snowball,Hog Rider,The Log,Earthquake,Musketeer
17,Ladder,20200516T081730.000Z,Tokky,ともまる,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Spear Goblins,Skeleton Barrel,Bats,Zap,Miner,Inferno Dragon,Goblin Gang,Mega Knight
20,Ladder,20200516T080329.000Z,Tokky,Erugent,0,1,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Earthquake,Bats,Knight,The Log,Hog Rider,Spear Goblins,Bomb Tower,Royal Delivery
21,Ladder,20200516T075904.000Z,Tokky,"Hi,I✨Psycho✨",1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Mortar,Bats,Miner,Fireball,Goblin Gang,Minion Horde,Spear Goblins,Zap
22,Ladder,20200516T075435.000Z,Tokky,パン,0,1,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Balloon,Zap,Ice Golem,Miner,Tornado,Goblin Gang,P.E.K.K.A,Bats
23,Ladder,20200516T075112.000Z,Tokky,<c3>Tiger14,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Knight,Princess,Ice Spirit,Goblin Gang,Inferno Tower,Rocket,Goblin Barrel,The Log
0,Ladder,20200517T005323.000Z,LittleAsianBoy,Nova°I Rakib™☑,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Zap,Giant,Arrows,Skeleton Army,Sparky,Mini P.E.K.K.A,Bats,Musketeer
1,Ladder,20200517T004943.000Z,LittleAsianBoy,奉天,1,2,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Electro Wizard,Poison,P.E.K.K.A,Ice Wizard,Prince,Zap,Inferno Dragon,Graveyard
2,Ladder,20200517T002235.000Z,LittleAsianBoy,Alekey,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Elixir Golem,Electro Dragon,Tornado,Fireball,The Log,Battle Healer,Magic Archer,Night Witch
3,Ladder,20200517T001911.000Z,LittleAsianBoy,zabu,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Ice Golem,The Log,Royal Hogs,Magic Archer,Mini P.E.K.K.A,Hunter,Heal Spirit,Earthquake
4,Ladder,20200517T001537.000Z,LittleAsianBoy,老司机丨范尔蒂尼,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Knight,X-Bow,The Log,Mega Knight,Bats,Balloon,Electro Wizard,Arrows,Inferno Dragon,Lumberjack,Valkyrie
5,Ladder,20200517T001027.000Z,LittleAsianBoy,Mathis,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,The Log,Goblin Barrel,Knight,Skeleton Barrel,Goblin Gang,Dart Goblin,Bomb Tower,Princess
6,Ladder,20200516T235726.000Z,LittleAsianBoy,* sorino *,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Mega Knight,Hog Rider,Goblin Gang,Valkyrie,Night Witch,Bats,Zap,Poison
7,Ladder,20200516T235243.000Z,LittleAsianBoy,•Ｌｕｃｋｙ•,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Knight,Skeletons,Bomb Tower,Hog Rider,Musketeer,The Log,Earthquake,Giant Snowball
8,Ladder,20200516T234629.000Z,LittleAsianBoy,Wendax✨,0,3,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Giant,Barbarians,Mini P.E.K.K.A,Baby Dragon,Electro Wizard,Arrows,The Log,Rage
9,Ladder,20200516T213047.000Z,LittleAsianBoy,carlos-,2,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Lumberjack,Miner,Inferno Tower,Arrows,Mega Minion,Balloon,Mega Knight,Zap
10,Ladder,20200516T212627.000Z,LittleAsianBoy,Quality I やなぎ,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Zap,Fire Spirits,Guards,P.E.K.K.A,Balloon,Miner,Tornado,Executioner
11,Ladder,20200516T212009.000Z,LittleAsianBoy,ボルキャノンLI,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Knight,Bomber,Freeze,Barbarian Barrel,Graveyard,Archers,Arrows,Bats
12,Ladder,20200516T211602.000Z,LittleAsianBoy,"HHG&M, Ltd.",1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Clone,Giant Skeleton,Night Witch,Flying Machine,Cannon Cart,Tornado,Furnace,Skeleton Barrel
13,Ladder,20200516T211216.000Z,LittleAsianBoy,TARZ4N,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,P.E.K.K.A,Royal Ghost,Poison,Electro Wizard,Bandit,Magic Archer,Zap,Battle Ram
14,Ladder,20200516T210704.000Z,LittleAsianBoy,ぽめらにあん,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Ice Wizard,Knight,Rocket,Skeletons,Tesla,The Log,Tornado,X-Bow
15,Ladder,20200516T210151.000Z,LittleAsianBoy,Gargolo,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,X-Bow,Skeletons,Knight,Ice Wizard,Tesla,The Log,Tornado,Rocket
16,Ladder,20200516T205819.000Z,LittleAsianBoy,<c3>Harry,1,2,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Skeleton Army,Hog Rider,Goblin Gang,Electro Wizard,Inferno Tower,Fireball,Goblin Barrel,The Log
17,Ladder,20200516T205430.000Z,LittleAsianBoy,~'Alexander30,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log
18,Ladder,20200516T204953.000Z,LittleAsianBoy,The Joker,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Ice Golem,Bomb Tower,Giant Snowball,Skeletons,Balloon,Miner,Musketeer,Arrows
19,Ladder,20200516T204503.000Z,LittleAsianBoy,Konital_,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Balloon,Freeze,Tesla,Musketeer,Skeletons,Bats,Ice Golem,The Log
20,Ladder,20200516T204106.000Z,LittleAsianBoy,N0SREB,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Mega Knight,Balloon,Skeleton Barrel,Bats,Lumberjack,Goblin Gang,Musketeer,Zap
21,Ladder,20200516T203642.000Z,LittleAsianBoy,Eddi,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Musketeer,Goblins,The Log,Knight,Earthquake,Giant Snowball,Hog Rider,Bomb Tower
22,Ladder,20200516T203221.000Z,LittleAsianBoy,samuel76100,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Arrows,Minions,Minion Horde,Barbarians,Goblin Barrel,Skeleton Army,Balloon,Giant Skeleton
23,Ladder,20200516T202842.000Z,LittleAsianBoy,Hyper✊,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Royal Giant,Barbarians,Tornado,Firecracker,Lightning,Hunter,Barbarian Barrel,Giant Skeleton
24,Ladder,20200516T202442.000Z,LittleAsianBoy,Maton,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Hunter,Ice Spirit,The Log,Earthquake,Firecracker,Hog Rider,Skeletons,Barbarians
3,Ladder,20200516T171205.000Z,i am trash,Doomz,1,0,Tornado,Ice Wizard,Skeletons,X-Bow,Knight,Rocket,The Log,Tesla,Ice Golem,Rocket,Goblin Cage,Inferno Dragon,Arrows,Lumberjack,Balloon,Wizard
4,Ladder,20200516T170804.000Z,i am trash,paquirris,0,1,Tornado,Ice Wizard,Skeletons,X-Bow,Knight,Rocket,The Log,Tesla,Hog Rider,Fireball,Musketeer,The Log,Cannon,Skeletons,Ice Spirit,Valkyrie
5,Ladder,20200516T170452.000Z,i am trash,Aboy Kobe,0,1,Tornado,Ice Wizard,Skeletons,X-Bow,Knight,Rocket,The Log,Tesla,P.E.K.K.A,Bandit,Electro Wizard,Magic Archer,Battle Ram,Royal Ghost,Zap,Poison
6,Ladder,20200516T170017.000Z,i am trash,골스,0,3,Mortar,Rocket,Tornado,Archers,The Log,Ice Spirit,Knight,Skeletons,Lava Hound,Mega Minion,Barbarians,Fireball,Balloon,Zap,Miner,Minions
7,Ladder,20200516T165726.000Z,i am trash,고민돼지,1,0,Mortar,Rocket,Tornado,Archers,The Log,Ice Spirit,Knight,Skeletons,Miner,Musketeer,Bats,Minions,Hog Rider,Princess,Goblin Gang,Zap
8,Ladder,20200516T165229.000Z,i am trash,marcux93,0,1,Mortar,Rocket,Tornado,Archers,The Log,Ice Spirit,Knight,Skeletons,Mega Knight,Fireball,Zap,Inferno Tower,Hog Rider,Musketeer,Goblins,Bats
9,Ladder,20200516T164810.000Z,i am trash,Bruno™,0,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Balloon,Mini P.E.K.K.A,Giant Snowball,Ice Golem,Miner,Musketeer,Skeletons,Bats
10,Ladder,20200516T155803.000Z,i am trash,The Apocalypse,0,3,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Prince,Princess,The Log,Goblin Barrel,Rascals,Rocket,Goblin Gang,Dart Goblin
11,Ladder,20200516T155602.000Z,i am trash,永恒彼岸,0,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Goblins,Tornado,Ice Spirit,Executioner,Earthquake,The Log,Hog Rider,Valkyrie
12,Ladder,20200516T095810.000Z,i am trash,jhosue19,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Graveyard,Baby Dragon,Barbarian Barrel,Bomb Tower,Ice Wizard,Tornado,Poison,Knight
13,Ladder,20200516T095247.000Z,i am trash,沢不烈士,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Giant,Dark Prince,Prince,Electro Wizard,Fireball,Zap,Miner,Mega Minion
14,Ladder,20200516T094730.000Z,i am trash,♥️♠️Tokadog♥️♠️,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Ice Wizard,Baby Dragon,Tornado,Graveyard,Poison,Ice Golem,Giant Snowball,Goblin Cage
15,Ladder,20200516T094408.000Z,i am trash,Kドラ,2,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,P.E.K.K.A,Battle Ram,Bandit,Royal Ghost,Electro Wizard,Baby Dragon,Poison,Zap
0,Ladder,20200517T010213.000Z,KingInTheEast™,BR☠Gampillo⏏☢,3,0,Knight,Goblin Gang,Goblin Barrel,Ice Spirit,Rocket,Inferno Tower,Princess,The Log,Giant Snowball,Bandit,Spear Goblins,Rocket,Cannon Cart,Princess,Rascals,Goblin Barrel
1,Ladder,20200517T005922.000Z,KingInTheEast™,Owen,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log
2,Ladder,20200517T005349.000Z,KingInTheEast™,fadel,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Giant,Prince,Dark Prince,Mega Minion,Fireball,Miner,Electro Wizard,Zap
3,Ladder,20200517T004923.000Z,KingInTheEast™,Roni Str #2,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Giant,Mini P.E.K.K.A,Arrows,Musketeer,Skeleton Army,Sparky,Zap,Bats
4,Ladder,20200516T234050.000Z,KingInTheEast™,keylocker,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Mega Knight,Zap,Electro Wizard,Royal Ghost,Hog Rider,Bandit,Firecracker,Bats
5,Ladder,20200516T233527.000Z,KingInTheEast™,gdgarza1,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Poison,Giant,Goblin Cage,Hunter,Minions,Miner,The Log,Giant Snowball
6,Ladder,20200516T233140.000Z,KingInTheEast™,'ÖmeR,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Graveyard,Freeze,Zap,Tesla,Bowler,Executioner,Mega Minion,Barbarians
7,Ladder,20200516T232829.000Z,KingInTheEast™,⚡️shepherd糖⚡️,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Hog Rider,Ice Golem,Cannon,The Log,Fireball,Musketeer,Ice Spirit,Skeletons
8,Ladder,20200516T232334.000Z,KingInTheEast™,Mansour,1,2,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Lightning,Baby Dragon,Arrows,Mega Minion,Golem,Guards,Lumberjack,Night Witch
9,Ladder,20200516T231817.000Z,KingInTheEast™,Destroyer,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Goblin Gang,Ice Spirit,Princess,Inferno Tower,The Log,Goblin Barrel,Knight,Rocket
10,Ladder,20200516T231403.000Z,KingInTheEast™,⚡️✨RENZ()✨⚡️,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Musketeer,Hog Rider,Fireball,Bats,Knight,The Log,Fire Spirits,Inferno Tower
11,Ladder,20200516T230923.000Z,KingInTheEast™,DaCh,1,0,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Skeletons,Giant Snowball,Miner,Balloon,Ice Golem,Musketeer,Bomb Tower,The Log
12,Ladder,20200516T230535.000Z,KingInTheEast™,✨⭐Matt❤️Man⭐✨,0,3,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Golem,Baby Dragon,Lumberjack,Night Witch,Electro Dragon,Heal Spirit,Tornado,Barbarian Barrel
13,Ladder,20200516T230324.000Z,KingInTheEast™,FR I Cabeloo,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Electro Wizard,The Log,Skeleton Army,Inferno Tower,Goblin Barrel,Fireball,Hog Rider,Goblin Gang
14,Ladder,20200516T225857.000Z,KingInTheEast™,GÁMEZ 玩家,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Valkyrie,Tornado,Miner,Wall Breakers,Bomb Tower,Rocket,Ice Wizard,Goblins
15,Ladder,20200516T225535.000Z,KingInTheEast™,Srul,0,1,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,P.E.K.K.A,Hunter,Dark Prince,Graveyard,Archers,Skeleton Barrel,Skeletons,Rocket
16,Ladder,20200516T225207.000Z,KingInTheEast™,piro^^ab^^jehad,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Zap,Mini P.E.K.K.A,Sparky,Arrows,Giant,Bats,Musketeer,Skeleton Army
17,Ladder,20200516T224855.000Z,KingInTheEast™,zeu,0,1,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Zap,Bats,Goblin Gang,Skeleton Barrel,Miner,Mega Knight,Spear Goblins,Inferno Dragon
18,Ladder,20200516T224447.000Z,KingInTheEast™,Naji,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Skeleton Army,Goblin Gang,Hog Rider,Fireball,Goblin Barrel,Inferno Tower,Wizard,The Log
19,Ladder,20200516T224135.000Z,KingInTheEast™,Jason,0,1,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,The Log,Bats,Bomb Tower,Spear Goblins,Knight,Miner,Poison,Skeleton Barrel
20,Ladder,20200516T223642.000Z,KingInTheEast™,TyritoRuizS,0,1,Knight,Goblin Gang,Goblin Barrel,Tornado,Rocket,Inferno Tower,Princess,The Log,Giant,Musketeer,Night Witch,Graveyard,Bats,Skeleton Army,Arrows,Zap
21,Ladder,20200516T223316.000Z,KingInTheEast™,eidien04,0,1,Knight,Goblin Gang,Goblin Barrel,Tornado,Rocket,Inferno Tower,Princess,The Log,Lava Hound,Goblin Cage,Baby Dragon,Barbarians,Inferno Dragon,Fireball,Arrows,Miner
22,Ladder,20200516T222921.000Z,KingInTheEast™,♠️♠️ACE♠️♠️,0,1,X-Bow,Fireball,Tesla,The Log,Archers,Skeletons,Ice Spirit,Ice Golem,Earthquake,Musketeer,Goblin Giant,Dark Prince,Mini P.E.K.K.A,Minions,Zap,Sparky
23,Ladder,20200516T222602.000Z,KingInTheEast™,Nexus | ✿はし✿,0,1,Knight,Goblin Gang,Goblin Barrel,Ice Spirit,Rocket,Inferno Tower,Princess,The Log,P.E.K.K.A,Bandit,Royal Ghost,Battle Ram,Electro Wizard,Minions,Zap,Poison
24,Ladder,20200516T222226.000Z,KingInTheEast™,✨мͥαтͣιͫツ✨,1,0,Knight,Goblin Gang,Goblin Barrel,Ice Spirit,Rocket,Inferno Tower,Princess,The Log,Lava Hound,Inferno Dragon,Balloon,Lightning,Arrows,Minions,Goblin Gang,Skeleton Army
2,Ladder,20200517T030259.000Z,✫ I Sword,❄ICE❄,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Baby Dragon,Graveyard,Bomb Tower,Poison,Tornado,Knight,Ice Wizard,Barbarian Barrel
3,Ladder,20200517T025420.000Z,✫ I Sword,⚡Kamikaze⚡,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Giant,Prince,Dark Prince,Mega Minion,Fireball,Miner,Electro Wizard,Zap
4,Ladder,20200517T023608.000Z,✫ I Sword,Nova I Arda,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Ice Golem,Archers,Tesla,Fireball,Ice Spirit,Skeletons,X-Bow,The Log
5,Ladder,20200517T013046.000Z,✫ I Sword,❤️AYA❤️,3,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Ice Wizard,Knight,Tornado,X-Bow,Tesla,Rocket,The Log,Skeletons
6,Ladder,20200517T012506.000Z,✫ I Sword,Nicoco23¶,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Royal Giant,Bats,Zap,Barbarians,Sparky,Arrows,Hog Rider,Musketeer
7,Ladder,20200517T011943.000Z,✫ I Sword,SDC KENNEDY,0,3,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Giant,Mini P.E.K.K.A,Musketeer,Graveyard,Skeleton Army,Bats,Arrows,Giant Snowball
8,Ladder,20200517T005445.000Z,✫ I Sword,Dead!,0,1,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Heal Spirit,Earthquake,Skeletons,Ice Golem,Three Musketeers,Hunter,The Log,Royal Hogs
9,Ladder,20200517T003907.000Z,✫ I Sword,Uta@インフェ枯渇,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Ice Spirit,Inferno Tower,Goblin Gang,Goblin Barrel,Princess,Knight,The Log,Rocket
10,Ladder,20200517T002939.000Z,✫ I Sword,GerasRepXD,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Giant,Mega Minion,Tombstone,Poison,Goblin Gang,Bats,Arrows,Graveyard
11,Ladder,20200517T002314.000Z,✫ I Sword,⚡Kamikaze⚡,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Giant,Prince,Dark Prince,Mega Minion,Fireball,Miner,Electro Wizard,Zap
12,Ladder,20200517T001712.000Z,✫ I Sword,UR Wallace,0,1,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Valkyrie,Hog Rider,Musketeer,Mortar,Skeletons,Bats,Giant Snowball,Earthquake
14,Ladder,20200516T234747.000Z,✫ I Sword,RemiEli,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Valkyrie,Tornado,Miner,Royal Giant,Bomb Tower,Rocket,Ice Wizard,Goblins
15,Ladder,20200516T234148.000Z,✫ I Sword,STR AlierenFan,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Lava Hound,Balloon,Tombstone,Fireball,Mega Minion,Minions,Zap,Barbarians
16,Ladder,20200516T233703.000Z,✫ I Sword,Hbs3,0,1,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Giant,Night Witch,Dark Prince,Graveyard,Skeleton Army,Giant Snowball,Arrows,Musketeer
18,Ladder,20200516T030208.000Z,✫ I Sword,❤️Bopi❤️,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Knight,Spear Goblins,Bats,Wall Breakers,Miner,Bomb Tower,Zap,The Log
19,Ladder,20200516T023855.000Z,✫ I Sword,CHN丨这货不是渣渣希,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Mega Knight,Giant Snowball,Bandit,Electro Wizard,Poison,Ram Rider,Barbarian Barrel,Inferno Dragon
21,Ladder,20200516T012718.000Z,✫ I Sword,LMT⚡Hassasin⚡,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Zap,Bandit,Magic Archer,Battle Ram,Electro Wizard,Royal Ghost,P.E.K.K.A,Poison
22,Ladder,20200516T005507.000Z,✫ I Sword,viicttor,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,P.E.K.K.A,Battle Ram,Poison,Magic Archer,Electro Wizard,Zap,Bandit,Royal Ghost
23,Ladder,20200516T004403.000Z,✫ I Sword,⚡Lobizon⚡,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Ice Golem,Bomb Tower,Giant Snowball,Skeletons,Balloon,Miner,Musketeer,Arrows
24,Ladder,20200516T002942.000Z,✫ I Sword,⚡FCB DAMN⚡,1,0,X-Bow,Skeletons,Tesla,Rocket,Tornado,Knight,Ice Wizard,The Log,Mega Knight,Balloon,Zap,Fireball,Baby Dragon,Inferno Dragon,Lumberjack,Freeze
25,Ladder,20200424T071955.000Z,✫ I Sword,TrainerRonny♂️정,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Tornado,Poison,Baby Dragon,Goblin Hut,Musketeer,Knight,Graveyard,Barbarian Barrel
26,Ladder,20200424T070939.000Z,✫ I Sword,悠晴,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Ice Golem,Earthquake,Firecracker,Hog Rider,Mini P.E.K.K.A,Skeletons,Bats,The Log
27,Ladder,20200424T070356.000Z,✫ I Sword,BFPP I ROCKSTAR,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Ice Golem,Mini P.E.K.K.A,Heal Spirit,Royal Hogs,Firecracker,The Log,Earthquake,Hunter
28,Ladder,20200424T065809.000Z,✫ I Sword,» Keiser ^_^,3,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Knight,Graveyard,Tornado,Barbarian Barrel,Baby Dragon,Goblin Hut,Ice Wizard,Poison
29,Ladder,20200424T065200.000Z,✫ I Sword,♨wataporon♨,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Knight,Skeletons,Dart Goblin,The Log,Skeleton Barrel,Goblin Barrel,Princess,Bomb Tower
37,Ladder,20200424T061657.000Z,✫ I Sword,やさしくくわしい古典文法,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Rascals,Prince,Princess,Rocket,Goblin Barrel,Dart Goblin,The Log,Goblin Gang
38,Ladder,20200424T061009.000Z,✫ I Sword,Kev❤️Jemima,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Knight,Archers,Bomber,Zap,Arrows,Balloon,Inferno Dragon,Mega Knight
39,Ladder,20200424T060309.000Z,✫ I Sword,YESTHER,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Electro Dragon,Elixir Golem,Earthquake,Barbarian Barrel,Barbarian Hut,Battle Healer,Baby Dragon,Tornado
40,Ladder,20200424T055508.000Z,✫ I Sword,❦Funny Pooh™❦,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Mega Knight,Miner,Inferno Dragon,Skeleton Barrel,Goblin Gang,Spear Goblins,Bats,Zap
41,Ladder,20200424T055123.000Z,✫ I Sword,joseph.jr,0,1,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Bats,Earthquake,Giant Snowball,Mini P.E.K.K.A,Hog Rider,Firecracker,Skeletons,Ice Golem
42,Ladder,20200424T052521.000Z,✫ I Sword,少年,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Giant,Musketeer,Mini P.E.K.K.A,Skeleton Army,Graveyard,Giant Snowball,Arrows,Bats
43,Ladder,20200424T051812.000Z,✫ I Sword,iAmKevinMx™,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Tornado,Barbarian Barrel,Knight,Poison,Baby Dragon,Ice Wizard,Bomb Tower,Graveyard
44,Ladder,20200424T044328.000Z,✫ I Sword,大塚坂46,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Goblin Barrel,Rascals,Goblin Gang,Prince,Dart Goblin,Princess,Rocket,The Log
45,Ladder,20200424T043819.000Z,✫ I Sword,Beck,1,0,X-Bow,The Log,Ice Wizard,Valkyrie,Skeletons,Tornado,Rocket,Tesla,Princess,The Log,Ice Spirit,Goblin Gang,Goblin Barrel,Inferno Tower,Rocket,Knight
