,company,raw
780,Arrowhead Research Corporation,Our mission is to create powerful new therapies that address real health problems.
781,Aspen Creek Dental,"Our goal is to provide patients with highest quality dental care in a comfortable, relaxed and friendly environment."
782,"Assembly Biosciences, Inc.","Discover, develop and commercialize drugs with the potential to treat and cure HBV and CDAD."
783,"Athersys, Inc.",Developing best in class therapeutics that improve the quality of human life.
784,"AtriCure, Inc.","Our purpose is the advancement of medical treatments in order to provide a service to humanity. Our first responsibility is to the patients and customers we serve. Our commitment to innovation is relentless. Our corporate integrity, honesty, and transparency are unwavering."
785,ATRION Corporation,"A key strength of Atrion is its ability to develop customized solutions for small and large customers, and to deliver products to the marketplace quickly and cost-effectively. The companyâ€™s focus on creative product design, low-cost manufacturing and exceptional customer service has created a portfolio of well-performing core products and a history of long-standing partnerships with its primary customer base."
786,Auris Medical Holding AG,We at Auris Medical are dedicated to developing novel pharmaceutical therapies to protect hearing and to silence tinnitus.
787,"Auxilium Pharmaceuticals, Inc.","Auxiliumâ€™s mission is to improve the lives of patients throughout the world by successfully identifying, developing, and commercializing innovative specialty biopharmaceutical products. We are committed to: the long-term success of our employees and shareholders, providing new treatment options to healthcare professionals, and the welfare of our patients."
788,"Avalanche Biotechnologies, Inc.","Avalanche is a clinical-stage biotechnology company focused on discovering and developing novel gene therapies to transform the lives of patients with sight-threatening ophthalmic diseases. Using a next generation gene therapy platform, the Ocular BioFactoryâ€™, the Company is developing products designed to provide long-term benefit or a functional cure by inducing a sustained expression of a therapeutic protein with a one-time administration in the eye."
789,"Avanir Pharmaceuticals, Inc.",Avanirâ€™s primary mission is to serve patients by developing innovative treatments for unmet medical needs. We also strive to be a responsible corporate citizen and good neighbor.
790,"AVEO Pharmaceuticals, Inc.",Delivering the next generation of cancer medicine to patients.
791,Azee Pharmacy and Medical Solutions,Our mission is to combine professional pharmacy services with outstanding customer care.
792,"Baxano Surgical, Inc.",Is to improve patient lives.
793,Beacon Prescriptions,"To providing high quality pharmacy services that result in optimal medication outcomes. We are committed to exceeding the needs of our patients and customers by providing efficient, caring, professional and cost-effective services in an environment that encourages excellence, teamwork, compassion and continuous improvement."
794,"Becton, Dickinson and Company",To help all people live healthy lives.
795,"Bioanalytical Systems, Inc.","It is the vision and mission of BASi to be the leading provider of professional, technical and scientific resources to the drug discovery industry, in service to our clients and to our shareholders."
796,"Biocept, Inc.",Biocept is dedicated to improving outcomes for cancer patients by advancing diagnostics.
797,Biogen Idec Inc.,"At Biogen Idec, our mission is to discover, develop and deliver to patients worldwide innovative therapies for the treatment of neurodegenerative diseases, hematologic conditions and autoimmune disorders."
798,"BioLife Solutions, Inc.","We strive to be the leading provider of biopreservation tools for cells, tissues, and organs"
799,BioLineRx Ltd.,"At BioLineRx, our mission is to identify promising new compounds and develop them into safe, effective and marketable drugs, seeking out-licensing and other strategic alliances in final developmental stages."
800,BioMarin Pharmaceutical Inc.,"To leverage its proprietary enzyme technology to develop therapies for the treatment of numerous diseases and conditions including genetic diseases, and burn and wound care."
801,"Biostar Pharmaceuticals, Inc.","Develops, manufactures and markets pharmaceutical and health supplement products for a variety of diseases and conditions."
802,Booragoon Dentist & Dental Services,"At Booragoon Dental Clinic, our staff provide complete dental care with the highest standard of treatment, tailored specifically to each individual client. We will strive to understand your needs and exceed your expectations."
803,Boston Home Health Aides LLC,Boston Home Health Aides LLC is dedicated to fostering individual and community health. We take pride in providing excellent care in a clientâ€™s place of residence.
804,Boulder Valley Dental Center,"We are the leading team in dentistry today. We started as four dedicated individuals who share the common ideal of being genuinely concerned with your overall health and self-esteem. We will provide you with a dazzling smile using the finest materials, the very latest in cutting-edge technology, and the most advanced skills and services. You will receive a truly remarkable, relaxing experience while we focus on your comfort."
805,Brainstorm Cell Therapeutics Inc.,"BrainStorm is developing autologous, adult stem cell therapies to treat a variety of debilitating neurodegenerative diseases, such as Amyotrophic Lateral Sclerosis (ALS, or Lou Gehrigâ€™s Disease), Parkinsonâ€™s Disease (PD), and Multiple Sclerosis (MS). Our approach uses the patientâ€™s own bone marrow to generate specialized NeuroTrophic Factor (NTF)-secreting cells, which are then transplanted into the spine or muscles, to protect existing motor neurons, promote new motor neuron growth, and re-establish nerve-muscle interaction. We are committed to developing an effective treatment that will overcome the devastating effects of neurodegenerative disease."
806,Bristol-Myers Squibb Company,"To discover, develop and deliver innovative medicines that help patients prevail over serious diseases."
807,Bruker Corporation,"With over 50 years of experience in superconductivity, it is our mission to be the worldâ€™s premier supplier of superconductor products. Based on our proven values of providing superior flexibility, reliability and quality standards, we support our customers and partners with state of the art superconductors today, while our research and development teams continuously improve our superconductors to expand the horizon of fundamental research, fuel energy efficient technologies, and enable evermore advanced life-enhancing techniques in healthcare and medical research."
808,BSD Medical Corporation,"Our mission is to develop the full spectrum of medical uses for our special competence in precision-focused RF/microwave systems, and to broadly apply the utilization of our technology to treat cancer and benign diseases and conditions."
809,California Dental Group,"At California Dental Group, our mission is to make a positive difference in the lives of children, youth and adults by offering the highest-quality dental care in a private-office atmosphere. By providing a team of professional, highly educated, honest, compassionate and committed employees, we aim to improve patient health, appearance, self-confidence and overall quality of life. This philosophy comes from the very top from Dr. Kamran Sahabi, a top general and cosmetic dentist in Los Angeles."
810,Cardinal Health Inc.,Our mission is to make healthcare safer and more productive.
811,"Caremark Rx, INC","We will be the premier health management solution provider, enabling individuals and plan sponsors to optimize their healthcare investment."
812,Carroll Pharmacy,Our mission is to provide our customers personal healthcare services and to ensure they have the best information about their health and wellness needs.
813,"CAS Medical Systems, Inc.",CASMED is dedicated to the development and manufacture of innovative technologies and products vital to patient care in the most challenging environments.
814,"CASI Pharmaceuticals, Inc.","Our mission is to become an integrated biopharmaceutical company with significant market share in China, while establishing partnerships for global development and commercialization."
815,"CBN Healthcare Services, Inc.","To provide cost-effective services that is delivered with compassion, dignity and respect to all of our clientsâ€™ individuality. We aim to be the best provider of home health care services in Woodbridge, Virginia."
816,Celator Pharmaceuticals Inc.,Our mission is to improve and extend the lives of patients with cancer by discovering and developing novel products based on our cutting edge technologies.
817,"Celldex Therapeutics, Inc.",Our programs are specifically aimed at patient populations with high unmet medical need including many underserved or completely un-served orphan indications.
818,"Cellular Dynamics International, Inc.",Cellular Dynamics Internationalâ€™s (CDI) mission is to provide access to biologically relevant and predictive human biology.
819,Central Drugs Compounding Pharmacy,"At Central Drugs Compounding Pharmacy, our mission is to provide the utmost in expert advice, friendly service, and custom solutions to help patients live healthy lives. Since 1999, Central Drugs, under family management, has grown from a small local pharmacy into a chain of custom compounding pharmacies with national reach, serving practitioners and patients across the U.S. Our highly trained staff is dedicated to helping people make the best decisions for their health, pleasantly and efficiently. We are also industry leaders in the art and science of custom compounding and individualized health-care solutions, with our own state-of-the-art compounding laboratory, and a team of compounding pharmacists who are recognized experts internationally."
820,CEPHEID,"To enable molecular diagnostic testing of any patient specimen on a centralized or disseminated basis, thereby enabling medical providers to identify and treat diseases early, increasing opportunities to improve patientsâ€™ survival and quality of life."
821,Cerus Corporation,Our Mission Cerus will establish INTERCEPT as the standard of care for transfused blood components globally to enable our customers to do everything in their power to deliver safe and effective blood products to patients.
822,Chans Home Healthcare,"To deliver the highest quality health care in the home by integrating professional, personal and compassionate caring and healing with advances in medical technology. Chans provides maximum value for each service it delivers to patients, and supports public health and community efforts in the mid coast area."
823,"Chesterfield Services, Inc.","Our mission is to provide a comprehensive and integrated system of home health care that is easily accessible, community centered and culturally relative."
824,"China Biologic Products, Inc.",Our mission is to become a world-class biopharmaceutical company focused on saving lives.
825,City Center Dental Care,"To honour the Lord by treating patients and fellow workers the same way we would like to be treated. We will continually strive for excellence in the care we render, and comfort in the way it is rendered. In this way, we will help patients to realize how good oral health can improve their quality of life."
826,"Cleveland BioLabs, Inc.","CBLIâ€™s mission is to develop and commercialize innovative drugs to treat cancer and protect healthy tissues from radiation, chemotherapy or ischemic conditions, using revolutionary scientific concepts developed at CBLI and in collaboration with distinguished academic partners."
827,Clinton Hospital,"As a member of a progressive health care system, we deliver high quality comprehensive services to the local and extended community with excellence, compassion and competence."
828,CombiMatrix Corporation,"At CombiMatrix, our goal is to provide you with results that impact clinical care."
829,Compugen Ltd.,Compugen Inc.â€™s mission is to translate our growing portfolio of novel oncology and immunology targets into promising monoclonal antibody (mAb) therapeutics for licensing and partnering.
830,CONMED Corporation,"Our mission is to improve the quality of healthcare by designing, producing and marketing innovative, high quality products."
831,ContraFect Corporation,"To address treatments for life-threatening, drug-resistant infections."
832,Cottonwood Place Dental,"We are committed to providing our patients with the highest quality dental care in the same warm, caring, and professional manner we would extend to members of our own family."
833,Coventry Health Care,"Our mission is to provide high quality care and services to our members and to be profitable in the process. Coventry Health Care is also committed to maintaining excellence, respect, and integrity in all aspects of our operations and our professional and business conduct. We strive to reflect the highest ethical standards in our relationships with members, providers, and shareholders."
834,CVS Caremark Corp,"Above all elseâ€¦our mission is to improve the lives of those we serve by making innovative and high-quality health and pharmacy services safe, affordable and easy to access."
835,CVS Corporation,We will be the easiest pharmacy retailer for customers to use.
836,"Cyberonics, Inc.",To advance device-based solutions that improve the lives of people with epilepsy and their families.
837,Cytori Therapeutics Inc,"Cytoriâ€™s mission is to improve the quality and length of life by providing innovative regenerative therapies to patients. Our culture is derived from passion for medicine, compassion for patients, respect among employees, and commitment to our customers."
838,Dehaier Medical Systems Limited,"To continue product R&D with the aim of developing new technologies, improving product quality, and reducing cost. To serve the customers with sleeping and respiratory disorders through a national customer experience center(CEC) network. To cooperate with more foreign brands of medical devices and homecare medical products based on our distribution network in China. Enter the international market with our homecare medical products and technical service products."
839,Dentalbug,"The practices of John Tsaknis, DDS provides quality dentistry for people of all ages. We offer a wide range of dental services, including preventive, cosmetic, restorative and reconstructive dentistry. We pride ourselves on our patient-centered practice. We do everything possible to make dental visits pleasant and positive experiences for our patients. We continually strive to earn the loyalty of our patients, and expect that we will see second and even third generations. Our office is dedicated to providing high quality dental care in our state of the art dental office. We utilize the most advanced materials and techniques in the dental field today. We offer a patient oriented environment that includes comfort, trust and education."
840,DENTSPLY International Inc.,"Deliver solutions â€œFor Better Dentistryâ€ that benefit practitioners and patients everywhere, optimizing our global resources to lead the industry in innovation, quality, and service."
841,"Derma Sciences, Inc.","Advancing wound care by introducing novel therapies, empowering caregivers, and focusing on patientsâ€™ unmet needs is the Companyâ€™s mission."
842,Dove Dental Services,Dove Dental Services strives to provide the best quality dental care to every patient that visits our office. It is our mission to ensure that each patient we treat feels as comfortable and at home as possible â€“ establishing a family atmosphere conducive to an outstanding dental experience.
843,Dr. Mount Dentist,"To provide the best possible dental care for our patients and to build a practice which allows us to provide comprehensive care in a comfortable, pleasant setting,To treat each patient with dignity, respect, kindness and understanding,To demonstrate that the patient is valued in this practice,To serve our community through preventive dentistry, educational programs and other outreach projects,To maintain highly qualified, motivated personnel who show initiative in their work and concern for our patients,To have a practice that runs smoothly and efficiently and employees that work together in a spirit of harmony and cooperation.,We desire the pace to be relaxed and each individual to utilize their time wisely To provide a service that will meet our patientâ€™s needs while allowing time for continued professional and personal fulfillment To earn a fair monetary return for our efforts and investment."
844,Drew Center Pharmacy,"Knowing our communitiesâ€™ health and wellness needs better than anyone and dedicated to proving the level of care that our communities deserve. The mission of the Drew Center Pharmacy is to:,1. Strive to understand your familiesâ€™ health needs,2. Improve the quality of your familiesâ€™ lifestyle through: Outstanding Services Affordable Products & High-Quality Merchandise,3. Provide you with information and resources to better understand and care for our community so you can help Drew help you."
845,East Tennessee Childrenâ€™s Hospital,"The mission of the hospital is to improve the health of children through:,Delivery of Care,To provide a concentration of skills and resources necessary to the diagnosis and treatment of children from the period before birth through adolescence,To provide comprehensive pediatric health care services regardless of race, religion, national origin, gender or ability to pay,To provide a pediatric referral center offering needed medical and surgical specialties,To provide a childrenâ€™s medical center program which delivers comprehensive pediatric hospital care, ambulatory care, and home health services"
846,Easy Living Home Health Care,Our mission is to create an environment where we set our team members up for success empowering them to provide the best in home care service to the community. We recently updated this mission statement to better reflect how our organization has evolved over time and more accurately portray the framework of our Alex Chamberlain Easy Living Florida business. It was vital to us that our mission identified our emphasis on our team members and our belief that they must come first or we will never be able to provide good service.
847,EnteroMedics Inc.,"EnteroMedics is committed to the delivery of safe, effective and sustainable therapies that address the growing global health crises associated with the increased prevalence of obesity and metabolic diseases, including diabetes and hypertension."
848,EXACT Sciences Corporation,"To partner with healthcare providers, payers, patients and advocacy groups to eradicate colorectal cancer."
849,Excel Home Healthcare,"At Excel Home Healthcare Inc. our mission is:,To provide a broad base of services based on our patientsâ€™ needs, involving patients establishing, implementing, and evaluating services.,To maintain patients in their homes as long as possible by providing nursing care and related health services.,To assist patients in using all restorative methods, tools, and procedures to return to their normal pattern of living as soon as possible.,To develop a relationship with referral sources to effectively meet the home care needs of patients.,To serve as a link between patients and available community resources."
850,Express Scripts,Express Scripts is a company dedicated to making the use of prescription drugs safer and more affordable for plan sponsors and over 50 million members and their families.
851,F&M Specialty Pharmacy,"Our mission is to serve all of our patients and to insure that physicians, nurses, nurse practitioners, social workers and other health care professionals have a resource they can trust to treat their patients with respect and care."
852,"Fate Therapeutics, Inc.",Fateâ€™s mission is to unite our unmatched knowledge of stem cell biology and a relentless pursuit of new mechanisms of therapeutic intervention for the development of innovative pharmaceuticals that modulate pathways of cell fate.
853,Fonar Corporation,"The mission of my clinic, Medical Diagnostic Upright (MDU) MRI, is to serve the local, as well as ex-pat population, with the ultimate in cutting-edge technology, one that is American manufactured, is the ultimate in patient comfort and luxury, and has unparalleled superiority in weight-bearing MRI diagnostics."
854,FunDentist,Our unique open concept office provides a cheerful and enthusiastic environment to educate and promote oral health for the children of our community. We are excited to share this journey with you and your family.
855,Fusion Specialty Pharmacy,"Our mission is to improve the quality of life for our patients. By preparing customized prescriptions, offering personal attention, and maintaining communication between physician and patient, we are able to accomplish this goal. We are dedicated to serving our community as trust-worthy, highly trained health care professionals. We, as owners and local pharmacists, have spent years developing relationships within our community. Developing relationships is not only an important part of customer service, but it is an essential part of providing quality pharmaceutical care."
856,Galectin Therapeutics Inc.,"Develop proprietary carbohydrate compounds with the potential to significantly improve treatments for cancer, liver, inflammatory and microbial diseases. This improvement is based on identifying and exploiting the unique biological specificity carbohydrates have for disease receptors."
857,Gateway Dental Centre,To Provide customized short and long term treatment planning and delivery from our in-house dental professionals and affiliated specialists.
858,Gentiva,"To improve quality of life for those we serve through the delivery of clinical excellence, extraordinary service and compassionate care, while being recognized as the leader in home health and hospice services."
859,Geriscript Pharmacy,"A fundamental element of our mission statement is the provision of services resulting in superior customer satisfaction. We realize that our service is only as good as it is perceived by our customers. Consequently, we feel that the communication between our organization and our customers is our best feedback. Our intention is to become a vital member of our customerâ€™s team for providing the best possible care for their residents. Therefore, our ability to maintain close communication and to respond quickly to our customerâ€™s needs is the basis for our Customer Service Program. We utilize both preventative and feedback tools with our Customer Service Program. Preventative measures are in place throughout formal policies and procedures utilized by each department and discipline within our practice. Our policies and procedures undergo continuous evaluation of their effectiveness based on feedback from our customers."
860,"Gilead Sciences, Inc.","To discover, develop and commercialize therapeutics that advance patient care, while challenging employees to make a difference and building a thriving worldwide enterprise."
861,Golden Age Home Health Care LLC,"Our mission at Golden Age Home Health Care, LLC is to provide professional and paraprofessional services to clients in their homes. This is in order to assist them in achieving the highest level of potential in their day-to-day self care activities. We are committed to providing high quality, multidisciplinary care by professionals who recognize the need for comprehensive assessments of needs from both the client and professionalâ€™s point of view."
862,"Greenwich Health Care Services, Inc.","Greenwich Health Care Services, Inc., a member of the Yale New Haven Health System is the parent entity overseeing Greenwich Hospital, Greenwich Health Services, Inc. and the Perryridge Corporation. Greenwich Hospital is a community hospital dedicated to providing quality, value driven health care to all we serve. Individuals within the communities we serve are assured access to quality health care regardless of ability to pay. Inherent in all patient care services decisions is an emphasis on flexibility to allow for changes as health care delivery and community needs require. The hospital is committed to financial stability through efficient service and competitive pricing.,Greenwich Health Services, Inc. is committed to developing and maintaining physician practices in communities outside of Greenwich so residents of those communities have convenient access to the services of the Greenwich medical community. The Perryridge Corporation owns and operates the Sherman and Gloria H. Cohen Pavilion. Greenwich Health Care Services, Inc. is committed to operating in an environment of continuous quality improvement. As a community health care services provider, we remain attentive to the health and well-being of those we serve through education, outreach, and other innovative services.,Greenwich Health Care Services, Inc. maintains high standards by: recruiting and retaining excellent staff, physicians, dentists and volunteers,Greenwich Health Care Services, Inc. will initiate, develop and maintain high quality health care service, provide educational programs for health professionals and for the public, and participate in programs of clinical research. At the same time, Greenwich Health Care Services, Inc. will strive to reduce the cost and improve the efficiency of health care. The Board of Directors sets policy and oversees the direction of the institution and the utilization of its resources. The Board of Directors holds administration accountable for policy implementation, sound business practices and fiscal responsibility. Annual assessment of its mission enables Greenwich Health Care Services, Inc. to ensure a continuing meaningful commitment to its community."
863,Grupo Casa Saba S.A.B. de C.V.,"Our goal is to be the leader in the distribution of products in Mexico. Toward that end, and as part of our strategy, we must move ahead to satisfy the needs of our clients, suppliers and business partners, with the goal of surpassing their expectations"
864,GuidePoint Pharmacy,We will assist our patients to achieve the best possible outcomes from their healthcare decisions by providing them with exceptional education and guidance.
865,Hallerâ€™s Pharmacies,"Hallerâ€™s Medical Supply strives to be the leading regional provider of home health and institutional products by demonstrating our commitment to clinical excellence and customer service, by delivering a wide range of specialty products and services ensuring quality care for all patients and as a reliable partner to the health care community."
866,"Halozyme Therapeutics, Inc.",Halozyme Therapeutics is a biopharmaceutical company dedicated to developing and commercializing innovative products that advance patient care.
867,"Harvard Apparatus Regenerative Technology, Inc.",Being the leading regenerative medicine company focused on supplying the worldâ€™s first regenerated organs for transplant.
868,HCA,"Above all else, we are committed to the care and improvement of human life. In recognition of this commitment, we strive to deliver high quality, cost effective healthcare in the communities we serve. In pursuit of our mission, we believe the following value statements are essential and timeless. We recognize and affirm the unique and intrinsic worth of each individual. We treat all those we serve with compassion and kindness. We act with absolute honesty, integrity and fairness in the way we conduct our business and the way we live our lives. We trust our colleagues as valuable members of our healthcare team and pledge to treat one another with loyalty, respect and dignity."
869,HealthCarefirst,To provide quality home based health care software products and supporting services that exceed industry standards and provide a rewarding and profitable experience for our clients and staff.
870,Heartland Home Health Care & Hospice,"We believe our mission is to enrich lives. That begins with every life we encounter: Our employess, our patients and those who love and care for them, the communities in which we operate, our stakeholders and those who are yet to become our customers."
871,"Heartware International, Inc.","We create revolutionary technology for the treatment of heart failure, which enables patients to get back to life."
872,Heska Corporation,To make a difference in companion animal health by providing products and services that are reliable and valuable. We will always work to build relationships and earn trust by delivering the utmost in support with integrity and professionalism.
873,Home Health Care of Southeast Ohio,"Home Health Care of Southeast Ohio, is guided by a tradition of personal, clinical and technological excellence. We are dedicated to providing the highest quality of patient/client care with compassion and respect for each person."
874,Home Nursing Agency Health Care,"Our mission is providing the highest quality of customer service with a sense of warmth, kindness and individual pride. Whether itâ€™s at home, school, or at one of our community sites, our employees are committed to ensuring families have the resources to remain at home and in their communities."
875,Hoyeâ€™s Pharmacy,"To continuously provide trustworthy, cutting edge resources dedicated to the development of specialized, custom medications that sets the standard for quality and innovation in our industry. Our world-class professionals will always remain adaptable to changing market conditions while providing and supporting an interactive network that encourages knowledgeable collaboration among health care professionals and consumers. Our team will aggressively integrate any new business opportunities that might help our business partners and medical practitioners grow their practices and enhance patient care and the quality of life in our communities."
876,Hunting Hills Family Dentistry,"Our mission is to provide the highest quality life time dental care in a professional, caring and comfortable environment. We are confident that our services and friendly staff will exceed your expectations and make you feel right at home."
877,ICON plc,At ICON our mission is to help our customers accelerate the development of drugs that save lives and improve the quality of life.
878,"ICU Medical, Inc.","Our company was founded on one simple, yet powerful philosophy â€“ to develop products that make a difference in patient care by helping forge the human and emotional connections that are a vital link between patients and caregivers, enhance the clinical experience, and are the essence of outstanding quality-of-care."
879,Ideal Health Care Solutions,Our mission is to provide appropriate care in the most appropriate setting.
880,"Idera Pharmaceuticals, Inc.","Ideal Healthcare Solutions strives to provide patients with convenient, cost-effective, holistic health care in a safe environment. It is the intent of this program to reduce acute hospitalization, improve mortality and morbidity, and contain health care costs through the appropriate and timely management of acute and chronic conditions. The providers work collaboratively with the clientâ€™s personal care provider and other members of the health care team to provide a comprehensive and streamlined program of care.,Idera is a team of hard-working, goal-oriented people who strive to contribute to quality health care in the treatment of serious diseases."
881,"IDEXX Laboratories, Inc.","To strengthen the profession, weâ€™re here to strengthen the bonds."
882,"Illumina, Inc.","It is mission critical for us to deliver innovative, flexible, and scalable solutions to meet the needs of our customers."
883,Imris Inc.,Our mission is to provide image guided therapy solutions that enhance the quality of clinical procedures and improve outcomes for patients. Our application-specific solutions assist clinicians in treating neurological and cardiovascularâ€™conditions.
884,Interim Healthcare,Our primary mission is â€œTo Improve Peopleâ€™s Livesâ€ and that is what we do every day.
885,"J & J Family Home Health Care, LLC","J & J Family Home Health Care, LLC is an agency that provides quality home care services that strives to keep families together. We want to help you lead a dignified and comfortable lifestyle with services that not only cares for body but the mind as well."
886,"K2M Group Holdings, Inc.",To become the preeminent Complex and Minimally Invasive Spine company in the world by developing differentiated technologies to improve the lives of patients suffering from the most complicated spinal pathologies.
887,Kelley-Ross Prescription Pharmacy,"To provide the highest level of pharmacy service to the patients, providers and caregivers in our community, and to meet the unique needs of the individual through innovative practice, clinical excellence, professional leadership, quality commitment and superior service."
888,Kennebec Pharmacy & Home Care,"Kennebec Pharmacy & Home Care was designed to address the pharmaceutical, durable medical equipment and home health care needs of the community. We are committed to provide an unparalleled level of service with the highest level of care, compassion and understanding. Our focus will be to provide quality products and services with special emphasis on education and support. All operations will be conducted in an ethical manner with the utmost integrity. Our goal is not merely to be the best of the best, but to be perceived as the only ones who do what we do."
889,Keystone Compounding Pharmacy,"To improve each personâ€™s comfort and well-being by providing friendly, high quality, coordinated pharmaceutical services. We pride ourselves as innovators in the community, working with patients and health care providers alike. To that end, we sought accreditation under the Pharmacy Compounding Accreditation Board (PCAB) and are proud to be the first Accredited Compounding Pharmacy in West Michigan, one of the first 50 nationwide! The PCAB seal testifies to our high standards of quality, purity and safety practices. We refuse to allow the phrase â€œThere is nothing more we can doâ€ within our business. Through continuing education, compassionate employees and excellent rapport with our local providers we can truly say we are â€œSpecializing In Your Health!â€"
890,Kid Dent,"Our goal is to provide exceptional pediatric and orthodontic dental care for infants, children, teenagers and the special needs patient. What will make us different from other practices is that we will practice with compassion, treating all of our patients with respect and individuality as each patient and family has different needs. We will strive to always have the patientâ€™s best interest at heart. We will create a â€œdental homeâ€ for our patients, providing:,An accurate and honest assessment for dental diseases and conditions.,An individualized preventive dental health program.,To guide our patients regarding growth and development issues (teething, habits and orthodontics).,A plan for emergency treatment, including pain or dental trauma.,Information about proper care of the childâ€™s teeth and gingiva.,Information about proper nutrition practices.,Comprehensive dental care in accordance with accepted guidelines and recare schedules for pediatric dental health.,Referrals to other dental specialists when care could and should not be provided within the dental home.,That all professionals rendering pediatric and orthodontic dental care will continually and regularly educate themselves, keeping abreast of all new treatment modalities that would benefit our patients.,That we will always keep our office new, modern and offer the latest technology to benefit patient care.,That all employees in this practice will provide services to our patients in a kind, respectful and courteous manner.,Kilgoreâ€™s Medical Pharmacy,Kilgoreâ€™s Medical Pharmacy exists to make the people of Mid-Missouri feel better through every interaction they have with us. We are building an organization of people with a passion for superior customer service. We work to make health care as affordable as possible. We strive to fill every order with accuracy, speed, honesty and integrity. We believe in doing the right thing and make decisions based on supporting our customers and our employees."
891,Kindred Healthcare,"The Compliance and Quality Committee is appointed to assist the Board of Directors in monitoring (1) the Companyâ€™s compliance with applicable laws, regulations, and policies"
892,Live Free Home Health Care,"Live Free Home Health Care, LLC is a Central New Hampshire based home care/home health care agency. Our mission is to enable individuals of the Lakes Region and Central New Hampshire to live independently in their homes using a team-based approach."
893,Market Compounding Pharmacy,"At Market Compounding Pharmacy we are dedicated to keeping the following promises to our patients and customers:,We will always give our patients an honest answer about their health care choices. Those answers will not be based on profit, they will be based on what is best for you.,We will apply our knowledge, experience, and skills to the best of our ability to assure optimal drug therapy outcomes for our patients.,We will continue to learn and seek out the best health care options available for our patients and embrace and advocate change in the profession of pharmacy that improves patient care.,We will maintain the highest principles of moral, ethical and legal conduct. We will focus on your wellness, not your sickness."
894,Markowitz Dental,"To provide the highest quality dental care in a relaxed, comfortable and safe atmosphere. We strive for the most outstanding results possible for our patients. We are an â€œold fashionedâ€ family style practice, complete with family values."
895,Masimo Corporation,"For more than 20 years now, Masimo has been focused on a singular mission, to create noninvasive patient monitoring technologies that are more effective and reliable and to improve patient outcomes and reduce the cost of care by bringing these technologies to new sites and applications."
896,MasterPeace Inc.,Providing the best care to secure a tranquil environment.
897,McKesson Corp,"Our mission is to provide comprehensive pharmacy solutions that improve productivity, profitability and result in superior patient care and satisfaction."
898,"Together with our customers and partners, we are creating a sustainable future for healthcare. Together we are charting a course to better health.",
899,Med Smart Pharmacy,"Our pharmacy staff seeks ways to provide personalized comprehensive medication care at affordable prices. It is our belief that affordable medications should be accessible to all. Health Care is a right and not a privilege that is why our pharmacy finds ways to be the provider of healthcare supplies, medications and compounding solutions that are competitively priced without compromising the level of quality."
900,Meyer Family Dental,Through patient education we strive to give you an array of choices so that you can make a healthy and informed decision for you and your family.
901,Miami Childrenâ€™s Hospital,To provide excellent family centered health care to children in an academic environment that meets or exceeds the expectations of those we serve and educate. To collaborate with others in our community to improve the health status of children.
902,Middlesex Hospital,"The mission of Middlesex Health System is to improve the health of the people and communities we serve and to manage illness with skill and compassion. The mission of Middlesex Health Services is to sponsor high quality healthcare-related services that are complementary to those offered by Middlesex Hospital. Middlesex Health Services is a not-for-profit entity, and the Company is involved in the ownership of hospital-related real estate, a hospital collection agency and a home infusion business."
903,"Momenta Pharmaceuticals, Inc.",Our mission is to foster communication and provide tools to sustain a culture that reflects our company values.
904,Mount Pleasant Dental Care,"Our mission is to listen first, then deliver individualized, uncompromised care."
905,Mount Pocono Dental,"To provide quality and comfort for a lifetime of dental excellence for people of all ages. To work as a team to inform and educate our patients with personalized, state-of-the-art, preventive dental care."
906,Mountain View Dentist,To provide first-quality dental care in a state-of-the-art environment with careful attention to detail and deep personal respect.
907,Myers Medical Pharmacy,"At Myers Medical Pharmacy, our commitment is to provide the highest quality pharmaceutical care through the very best professional services and products, delivered by friendly, helpful and knowledgeable people. Helping individual patients with individual medications. Driven by our belief that no two individuals are exactly alike and our deep concern about the individual needs of every patient, our mission is to provide unique health care solutions using both commercially available pharmaceuticals and customized, compounded prescription medications. We are dedicated to formulating creative, individualized, compounded medications that can improve compliance, maximize the potential for therapeutic success and reduce the overall cost of healthcare â€“ helping patients achieve their unique health goals â€“ to improve and maintain their quality of life."
908,"Myriad Genetics, Inc.","At Myriad, our goal is to make a difference in patientsâ€™ lives and our work has been guided by this mission throughout the Companyâ€™s history."
909,Myrtle Drugmart,"Our mission is to assure that each and every customer is treated with the utmost respect, that they are afforded the highest quality pharmacy services available and that we assure the most comprehensive, dependable home healthcare services we can offer. Our goal is to secure the trust of our customers through the many services we provide. We are dedicated to being the only pharmacy our customers will ever need. As we make friends along the way, we will continue to realize that our employees are the success of our business and our caring, quality, personal services are our growth and future."
910,National Research Corporation,Mission Statement: Empowering Customer-Centric Healthcare Across the Continuum.
911,Natus Medical Incorporated,"Our mission is to improve outcomes and patient care in target markets through innovative screening, diagnostic and treatment solutions."
912,No Tears Dental,"Among the most innovative and cutting edge dentists in NJ, No Tears Dentalâ€™s goal is to serve our community with affordable, state-of-the-art, oral healthcare and wellness. With a talented staff of caring, family-friendly professionals, we put our patientâ€™s dental care first by offering pain-free services for you, your family and friends. We love taking care of our fellow New Jersey residents, and are committed to offering high-quality dental procedures by ensuring that our patients have the most comfortable experience possible."
